Id,Weekly_Sales
1_1_2012-11-02,32737.887900000027
1_1_2012-11-09,18765.407200000005
1_1_2012-11-16,19134.804999999986
1_1_2012-11-23,20819.382999999994
1_1_2012-11-30,26081.899600000037
1_1_2012-12-07,34116.88539999997
1_1_2012-12-14,45995.14389999998
1_1_2012-12-21,48967.136500000015
1_1_2012-12-28,22608.017199999966
1_1_2013-01-04,16440.336399999975
1_1_2013-01-11,17002.539899999978
1_1_2013-01-18,18059.312000000013
1_1_2013-01-25,18495.356799999972
1_1_2013-02-01,22923.160100000012
1_1_2013-02-08,38075.99200000006
1_1_2013-02-15,51787.29640000001
1_1_2013-02-22,20345.87529999999
1_1_2013-03-01,20280.64690000001
1_1_2013-03-08,21157.875099999997
1_1_2013-03-15,21779.37709999996
1_1_2013-03-22,22154.765699999978
1_1_2013-03-29,28925.791300000008
1_1_2013-04-05,54259.49790000005
1_1_2013-04-12,35005.473099999996
1_1_2013-04-19,16837.027099999978
1_1_2013-04-26,17916.75410000001
1_1_2013-05-03,17705.12989999997
1_1_2013-05-10,17667.851099999974
1_1_2013-05-17,17852.239300000012
1_1_2013-05-24,17045.42240000002
1_1_2013-05-31,16500.702800000006
1_1_2013-06-07,17199.5874
1_1_2013-06-14,17333.755
1_1_2013-06-21,16741.772599999982
1_1_2013-06-28,16143.384399999995
1_1_2013-07-05,17230.763100000026
1_1_2013-07-12,16728.852899999994
1_1_2013-07-19,16359.03560000002
1_1_2013-07-26,15992.135600000007
1_2_2012-11-02,44510.21240000001
1_2_2012-11-09,44219.62590000004
1_2_2012-11-16,43065.85340000003
1_2_2012-11-23,44675.28469999996
1_2_2012-11-30,45252.2778
1_2_2012-12-07,48449.069099999986
1_2_2012-12-14,50338.95299999998
1_2_2012-12-21,58741.98250000003
1_2_2012-12-28,44007.3435
1_2_2013-01-04,44052.03189999993
1_2_2013-01-11,43593.956999999944
1_2_2013-01-18,43315.01620000006
1_2_2013-01-25,43215.4281
1_2_2013-02-01,47895.90940000003
1_2_2013-02-08,49132.09290000001
